CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS
35020,,,"Natchez, MS-LA ",Micropolitan Statistical Area,2,,,Concordia Parish,Louisiana,22029
35020,,,"Natchez, MS-LA ",Micropolitan Statistical Area,2,,,Adams County,Mississippi,28001
35060,,,"Natchitoches, LA ",Micropolitan Statistical Area,2,,,Natchitoches Parish,Louisiana,22069
35100,,,"New Bern, NC ",Micropolitan Statistical Area,2,,,Craven County,North Carolina,37049
35100,,,"New Bern, NC ",Micropolitan Statistical Area,2,,,Jones County,North Carolina,37103
35100,,,"New Bern, NC ",Micropolitan Statistical Area,2,,,Pamlico County,North Carolina,37137
35140,,192,"Newberry, SC ",Micropolitan Statistical Area,2,,"Columbia-Newberry, SC",Newberry County,South Carolina,45071
35220,,294,"New Castle, IN ",Micropolitan Statistical Area,2,,"Indianapolis-Anderson-Columbus, IN",Henry County,Indiana,18065
35260,,430,"New Castle, PA ",Micropolitan Statistical Area,2,,"Pittsburgh-New Castle, PA",Lawrence County,Pennsylvania,42073
35300,,408,"New Haven-Milford, CT ",Metropolitan Statistical Area,1,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",New Haven County,Connecticut,9009
35340,,318,"New Iberia, LA ",Micropolitan Statistical Area,2,,"Lafayette-Acadiana, LA",Iberia Parish,Louisiana,22045
35380,,406,"New Orleans-Metairie-Kenner, LA ",Metropolitan Statistical Area,1,,"New Orleans-Metairie-Bogalusa, LA",Jefferson Parish,Louisiana,22051
35380,,406,"New Orleans-Metairie-Kenner, LA ",Metropolitan Statistical Area,1,,"New Orleans-Metairie-Bogalusa, LA",Orleans Parish,Louisiana,22071
35380,,406,"New Orleans-Metairie-Kenner, LA ",Metropolitan Statistical Area,1,,"New Orleans-Metairie-Bogalusa, LA",Plaquemines Parish,Louisiana,22075
35380,,406,"New Orleans-Metairie-Kenner, LA ",Metropolitan Statistical Area,1,,"New Orleans-Metairie-Bogalusa, LA",St. Bernard Parish,Louisiana,22087
35380,,406,"New Orleans-Metairie-Kenner, LA ",Metropolitan Statistical Area,1,,"New Orleans-Metairie-Bogalusa, LA",St. Charles Parish,Louisiana,22089
35380,,406,"New Orleans-Metairie-Kenner, LA ",Metropolitan Statistical Area,1,,"New Orleans-Metairie-Bogalusa, LA",St. John the Baptist Parish,Louisiana,22095
35380,,406,"New Orleans-Metairie-Kenner, LA ",Metropolitan Statistical Area,1,,"New Orleans-Metairie-Bogalusa, LA",St. Tammany Parish,Louisiana,22103
35420,,,"New Philadelphia-Dover, OH ",Micropolitan Statistical Area,2,,,Tuscarawas County,Ohio,39157
35460,,392,"Newport, TN ",Micropolitan Statistical Area,2,,"Morristown-Newport, TN",Cocke County,Tennessee,47029
35500,,218,"Newton, IA ",Micropolitan Statistical Area,2,,"Des Moines-Newton, IA",Jasper County,Iowa,19099
35580,,,"New Ulm, MN ",Micropolitan Statistical Area,2,,,Brown County,Minnesota,27015
35620,35644,408,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Metropolitan Statistical Area,1,"New York-Wayne-White Plains, NY-NJ","New York-Newark-Bridgeport, NY-NJ-CT-PA",Bergen County,New Jersey,34003
35620,35084,408,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Metropolitan Statistical Area,1,"Newark-Union, NJ-PA","New York-Newark-Bridgeport, NY-NJ-CT-PA",Essex County,New Jersey,34013
